v87b098n*09m-ç*ş0l9k8j7episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,a2c_llm,125.34400992052086,9.139406565656564,1839.853067223364,9.069101218648779,0.6,0.3,0.1
2,a2c_llm,145.02130674001054,9.195189393939394,1852.425383592353,8.785457376216222,0.61,0.3,0.09
3,a2c_llm,143.3340989377117,9.03590909090909,1798.3617801519895,9.082750466965095,0.614,0.298,0.088
4,a2c_llm,131.2594995419013,8.754090909090909,1786.6539536084947,9.580025652147615,0.6212,0.2884,0.0904
5,a2c_llm,112.42632484867741,8.989002525252525,1837.4382446726154,9.587478777762273,0.627,0.2847,0.0883
6,a2c_llm,111.35140199596525,9.056502525252524,1809.627716310221,9.94569806056467,0.6276,0.2858,0.0866
7,a2c_llm,81.61580403579799,8.529381313131314,1775.3164696715507,11.155519548559573,0.6321,0.2786,0.0893
8,a2c_llm,78.02949633662043,7.755833333333333,1670.040421385013,11.82566173919925,0.6337,0.2809,0.0854
9,a2c_llm,58.10737326817,6.0275,1454.8195964082222,14.965778594067116,0.635,0.2827,0.0823
10,a2c_llm,55.690724466036436,5.685,1397.4298291813197,15.427882347472009,0.642,0.2762,0.0818
11,a2c_llm,54.03058175716765,5.677803030303031,1404.8567731704634,15.445189024727659,0.6436,0.275,0.0814
12,a2c_llm,53.15722648847088,5.512651515151515,1372.4837145049369,16.02016588324032,0.6449,0.278,0.0771
13,a2c_llm,53.895465936290066,5.689545454545455,1398.382113607679,15.819974599520647,0.6459,0.2804,0.0737
14,a2c_llm,50.91644944140883,5.392752525252525,1359.2120439688658,16.386330618958546,0.6507,0.2743,0.075
15,a2c_llm,52.70647937461171,5.633219696969697,1398.0212148622766,15.712363113494787,0.6526,0.2714,0.076
16,a2c_llm,55.27869420185751,5.918939393939393,1431.5404894384628,14.846280266083314,0.6601,0.2651,0.0748
17,a2c_llm,60.83273638142223,6.147032828282829,1474.3988729459036,13.783155619124232,0.6641,0.2561,0.0798
18,a2c_llm,52.366990871599086,5.750858585858586,1414.0269913983645,15.529166405200034,0.6733,0.2509,0.0758
19,a2c_llm,59.2390746634282,6.027196969696969,1443.3091902418523,14.250586869326675,0.6746,0.2527,0.0727
20,a2c_llm,55.148792148549646,5.779015151515151,1421.1026818497353,15.420267497337296,0.6757,0.2522,0.0721
21,a2c_llm,51.14612351561779,5.358939393939394,1358.2464276073092,16.298385872042278,0.6766,0.2498,0.0736
22,a2c_llm,51.94734793495546,5.447196969696969,1369.4512503066426,16.014536004374495,0.6773,0.2498,0.0729
23,a2c_llm,52.30872947455812,5.559621212121212,1385.1633948789263,15.693313296244366,0.6798,0.2458,0.0744
24,a2c_llm,55.40954318841612,5.74540404040404,1413.2310764601077,15.0377858722604,0.6818,0.2466,0.0716
25,a2c_llm,55.36952319773678,5.96665404040404,1427.5561785574625,15.34067821698112,0.6894,0.2433,0.0673
