episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,a2c_rag,136.39606186981584,7.858686868686869,1648.8298331089854,10.49554889575172,0.6,0.3,0.1
2,a2c_rag,126.11226410209564,7.7006565656565655,1626.042039593164,10.831262380539117,0.61,0.29,0.1
3,a2c_rag,128.90043990817142,7.647335858585859,1608.2768882444389,10.892927064725892,0.614,0.286,0.1
4,a2c_rag,125.64333947489651,7.665113636363636,1616.451338000366,11.002149902201301,0.6172,0.2808,0.102
5,a2c_rag,121.93200357713377,8.065113636363636,1663.6526030965354,10.55150219757059,0.6208,0.2776,0.1016
6,a2c_rag,124.38248633975483,8.193787878787878,1682.5029556575248,10.507333561158937,0.6226,0.2761,0.1013
7,a2c_rag,126.87905827718454,8.173762626262626,1672.0456422531643,10.277327977909186,0.6241,0.2729,0.103
8,a2c_rag,128.33512304411562,9.389292929292928,1856.7008946077317,8.839074935463083,0.6253,0.2723,0.1024
9,a2c_rag,129.2933628967508,9.022992424242423,1809.7716458740354,9.113512576725835,0.6262,0.2698,0.104
10,a2c_rag,144.56106317135934,9.838472222222222,1923.175088984309,8.261339600860971,0.627,0.2678,0.1052
11,a2c_rag,129.45868113231202,8.656123737373738,1749.3585285453244,9.503859598631957,0.6296,0.2662,0.1042
12,a2c_rag,136.7755664823968,10.063535353535354,1981.8232659935893,8.146560620141688,0.6297,0.267,0.1033
13,a2c_rag,126.5708301869156,8.585025252525252,1745.1408787401974,9.452576714895637,0.6298,0.2676,0.1026
14,a2c_rag,125.71909616423218,8.921704545454546,1796.4997387012504,9.10901357637654,0.6298,0.2661,0.1041
15,a2c_rag,126.70144202326516,8.695454545454547,1769.4705221881602,9.359899720150747,0.6298,0.2669,0.1033
16,a2c_rag,132.2953905022713,8.93016414141414,1802.7836783280486,8.9141363753044,0.6298,0.2655,0.1047
17,a2c_rag,135.9859318281089,8.860580808080808,1783.5784475084845,9.100903171870087,0.6298,0.2644,0.1058
18,a2c_rag,126.7240423685551,8.769924242424242,1763.301661207128,9.29091591777265,0.6298,0.2655,0.1047
19,a2c_rag,133.79585137936064,9.488775252525251,1893.8799225350783,8.265987116595815,0.6298,0.2644,0.1058
20,a2c_rag,124.9347533989283,9.120593434343435,1843.1620001491428,8.881843626243393,0.6338,0.2615,0.1047
21,a2c_rag,133.3660630222876,9.411780303030302,1878.767713398623,8.598354807626983,0.635,0.2632,0.1018
22,a2c_rag,134.02827017300683,8.692020202020203,1744.5632251960092,9.49593212757269,0.636,0.2626,0.1014
23,a2c_rag,129.62791088016868,8.815151515151516,1772.7542415229,9.213212381124183,0.6358,0.2628,0.1014
24,a2c_rag,129.9703285334065,9.355239898989899,1885.980677500527,8.429391762425636,0.6346,0.2622,0.1032
25,a2c_rag,132.34459411390236,9.09878787878788,1815.4831559426798,8.893526942014189,0.6357,0.2618,0.1025
