episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,dqn_llm,93.04296785994357,8.862557575757576,2322.5667025607554,8.580820479742627,0.6,0.3,0.1
2,dqn_llm,97.51107420719434,9.108824242424243,2362.8836992437523,8.331262960520519,0.61,0.29,0.1
3,dqn_llm,72.25524364261601,7.475030303030302,2109.95834554214,9.819114691102861,0.618,0.282,0.1
4,dqn_llm,102.13042529554798,9.392169696969699,2425.5331527848184,8.135907340529512,0.6204,0.2836,0.096
5,dqn_llm,111.14265662502538,9.664872727272728,2466.223953117903,7.8263781106431844,0.6213,0.2859,0.0928
6,dqn_llm,97.11789671176334,9.223054545454545,2394.8782909261113,8.305648564175126,0.627,0.2787,0.0943
7,dqn_llm,105.53460293848353,9.446460606060606,2426.4714275744586,8.01392799437814,0.6316,0.273,0.0954
8,dqn_llm,112.42010764773457,9.929296969696969,2496.0726804490114,7.6544711697810115,0.6333,0.2704,0.0963
9,dqn_llm,96.5665526151767,9.094884848484847,2360.5721304259823,8.341057284032281,0.6366,0.2713,0.0921
10,dqn_llm,84.99740630111054,8.59490909090909,2288.540055496953,8.949770759751265,0.6433,0.263,0.0937
11,dqn_llm,89.2517853368883,8.631672727272727,2301.7138757033176,8.841910081760776,0.6446,0.2604,0.095
12,dqn_llm,96.69698396726406,9.167442424242424,2374.2572679065197,8.33371045433316,0.6457,0.2583,0.096
13,dqn_llm,82.37501562917124,8.161260606060607,2216.070695398015,9.065233394924778,0.6506,0.2526,0.0968
14,dqn_llm,94.48209536536106,9.052472727272727,2365.710884016651,8.450063414546964,0.6565,0.2501,0.0934
15,dqn_llm,100.72680015638456,9.086872727272727,2373.6223290477283,8.295245020295368,0.6592,0.2521,0.0887
16,dqn_llm,99.87029960767691,9.103963636363638,2372.0315466999846,8.25722062714806,0.6614,0.2477,0.0909
17,dqn_llm,102.4470144550422,9.185103030303031,2387.868364430952,8.144699059718812,0.6651,0.2502,0.0847
18,dqn_llm,108.4141478608562,9.746060606060606,2465.3673636131343,7.864565566567672,0.6701,0.2462,0.0837
19,dqn_llm,114.40756586108608,9.913151515151515,2494.731587011359,7.649754649378939,0.6721,0.247,0.0809
20,dqn_llm,107.04855422567874,9.580945454545455,2457.0372259555616,8.016503277241483,0.6737,0.2496,0.0767
21,dqn_llm,111.34142291327458,9.741260606060608,2478.1308651676372,7.798935125699416,0.683,0.2457,0.0713
22,dqn_llm,100.79624833734371,9.233527272727272,2392.554590057383,8.199004762858584,0.6844,0.2426,0.073
23,dqn_llm,104.08908186413043,9.385187878787878,2401.6480170432405,8.092919040533255,0.6955,0.2301,0.0744
24,dqn_llm,105.51296310135294,9.409321212121212,2430.533551611077,8.08475778778515,0.6904,0.2361,0.0735
25,dqn_llm,97.11771363105323,9.022593939393941,2370.5513285521856,8.295722609537988,0.6963,0.2329,0.0708
