episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,dqn_rag,99.11443125917887,9.267260606060608,2393.986941924728,8.196646949785789,0.6,0.3,0.1
2,dqn_rag,93.25858378035798,8.908836363636365,2338.395328835967,8.515684897549024,0.61,0.29,0.1
3,dqn_rag,95.07350635083796,9.0128,2354.639581048437,8.40714880045053,0.614,0.286,0.1
4,dqn_rag,94.35038703763801,8.962884848484848,2355.991752612189,8.54768280461406,0.6172,0.2828,0.1
5,dqn_rag,102.34486867761053,9.353333333333333,2409.3517292662173,8.153195681889597,0.6198,0.2802,0.1
6,dqn_rag,92.18457986628478,8.70998787878788,2319.570350322284,8.575077810390772,0.6218,0.2782,0.1
7,dqn_rag,96.26877655387993,8.80961212121212,2325.6575739495684,8.403946434432415,0.6234,0.2766,0.1
8,dqn_rag,110.19377314849251,9.657018181818183,2450.854476383568,7.821129267472929,0.6257,0.2743,0.1
9,dqn_rag,94.50353867242688,8.953721212121211,2340.383965797254,8.498633307643498,0.6266,0.2734,0.1
10,dqn_rag,94.90490786109642,9.07580606060606,2363.1080307354196,8.40835437158092,0.6313,0.2687,0.1
11,dqn_rag,75.66193774025786,7.850618181818183,2175.487622068552,9.715689017081184,0.635,0.265,0.1
12,dqn_rag,89.10264105714423,8.415321212121212,2260.2339242635244,8.743237793340667,0.636,0.264,0.1
13,dqn_rag,96.21827021046582,9.124557575757576,2366.834986966017,8.329509697374288,0.6368,0.2632,0.1
14,dqn_rag,99.45555154967094,9.270133333333334,2394.851105751088,8.233556592079898,0.6364,0.2636,0.1
15,dqn_rag,93.43125393850517,8.912848484848483,2347.427118356913,8.536133927764258,0.6431,0.2569,0.1
16,dqn_rag,101.95018364142551,9.137236363636365,2380.601292978334,8.211376429940364,0.6445,0.2555,0.1
17,dqn_rag,101.60637097027711,8.774121212121212,2329.8396158140968,8.374795028022216,0.6446,0.2554,0.1
18,dqn_rag,111.52836376961908,9.905163636363636,2497.487819712768,7.719449493013415,0.6457,0.2543,0.1
19,dqn_rag,109.36508774264793,9.651563636363637,2448.006344513452,7.912719049735666,0.6426,0.2574,0.1
20,dqn_rag,98.76775660125001,9.251030303030303,2407.0773250006123,8.301770403865396,0.6441,0.2559,0.1
21,dqn_rag,112.0959911941587,9.758363636363635,2471.009436630977,7.803811738370203,0.6453,0.2547,0.1
22,dqn_rag,102.11814101257299,9.347963636363636,2406.1908702121955,8.147536591593864,0.6442,0.2558,0.1
23,dqn_rag,87.39813037789885,8.370157575757576,2247.014720391255,8.864723689831555,0.6445,0.2555,0.1
24,dqn_rag,110.94718074499939,9.827648484848485,2491.913314674909,7.800694505697901,0.6456,0.2544,0.1
25,dqn_rag,105.32668092834629,9.528145454545454,2442.994671440446,7.9421933971188965,0.6465,0.2535,0.1
