episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,baseline,110.0485006968323,9.550277777777778,1860.9730061579446,9.463019624758047,0.6,0.3,0.1
2,baseline,108.90010732730228,9.562108585858587,1861.7555420655203,9.524746313344027,0.6,0.3,0.1
3,baseline,108.77525197318143,9.539936868686869,1856.2954947894061,9.496006376049255,0.6,0.3,0.1
4,baseline,107.90508574374219,9.548383838383838,1868.456121352452,9.659154447352218,0.6,0.3,0.1
5,baseline,106.94978889147664,9.367714646464647,1835.0565025952167,9.686182875380531,0.6,0.3,0.1
6,baseline,108.76849651929017,9.56405303030303,1867.018699864644,9.558501514719385,0.6,0.3,0.1
7,baseline,113.20324283564143,10.043068181818182,1941.6113739041516,8.931569235115571,0.6,0.3,0.1
8,baseline,110.22123050450799,9.945378787878786,1919.6393733883747,9.050036329930945,0.6,0.3,0.1
9,baseline,108.37574503059321,9.647575757575758,1878.936443347062,9.372539844827141,0.6,0.3,0.1
10,baseline,107.59445854703685,9.623207070707071,1871.1989621515986,9.475465174910315,0.6,0.3,0.1
11,baseline,107.98486695147534,9.41469696969697,1842.6352750539559,9.726881313238824,0.6,0.3,0.1
12,baseline,108.4169099898931,9.72395202020202,1888.4180914198207,9.286859229533638,0.6,0.3,0.1
13,baseline,107.70068372794358,9.54316919191919,1855.1718086602502,9.504380835508996,0.6,0.3,0.1
14,baseline,108.17099701831263,9.561679292929293,1864.1514856762374,9.54176695681974,0.6,0.3,0.1
15,baseline,108.98934657789631,9.415921717171718,1841.1844951968687,9.694573125455175,0.6,0.3,0.1
16,baseline,110.79427876725596,9.713207070707071,1887.0397264744133,9.317687794293715,0.6,0.3,0.1
17,baseline,112.42002349201981,10.060126262626262,1941.6453365192565,8.957911586359424,0.6,0.3,0.1
18,baseline,109.285414275068,9.724545454545455,1884.012954478782,9.354301531873242,0.6,0.3,0.1
19,baseline,110.73604561340116,9.808333333333334,1904.6998348451707,9.068841593947633,0.6,0.3,0.1
20,baseline,108.92142894864558,9.571401515151516,1872.4848891351926,9.587498250227553,0.6,0.3,0.1
21,baseline,109.00003249013116,9.563181818181818,1870.0169002697703,9.50432499722345,0.6,0.3,0.1
22,baseline,109.64169006832296,9.628244949494949,1878.8152118287862,9.450546681355338,0.6,0.3,0.1
23,baseline,110.61047808905877,9.745757575757576,1888.5478109697951,9.352157354989458,0.6,0.3,0.1
24,baseline,109.29638506608012,9.877411616161616,1921.0267270201953,9.16089763395512,0.6,0.3,0.1
25,baseline,109.11382002226908,9.658901515151516,1876.450411516788,9.385441335419197,0.6,0.3,0.1
