episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,ppo_llm,151.01208010839602,9.395478787878789,1921.804986521662,8.684345350327225,0.6,0.3,0.1
2,ppo_llm,131.17184014423728,8.534872727272727,1759.0634246759575,10.112016492471925,0.61,0.29,0.1
3,ppo_llm,110.49551931962439,8.828836363636364,1861.3932999793024,9.939073876026425,0.618,0.282,0.1
4,ppo_llm,55.18645666143052,5.496012121212122,1427.724201969002,15.408918782683987,0.6244,0.2756,0.1
5,ppo_llm,140.89088198118998,7.8461454545454545,1700.8155586517844,10.871273172211074,0.6275,0.2725,0.1
6,ppo_llm,155.0694971789483,9.060545454545455,1903.9322547425552,8.927720913379224,0.632,0.268,0.1
7,ppo_llm,137.34861315202997,9.425175757575756,1974.3917937809356,8.495361997630019,0.6356,0.2644,0.1
8,ppo_llm,131.72263465854303,8.914424242424243,1896.0582928212775,8.894435698036293,0.6425,0.2615,0.096
9,ppo_llm,144.196621821225,8.443963636363636,1816.415886326188,9.62192880298802,0.644,0.2592,0.0968
10,ppo_llm,138.6765163319803,8.474860606060606,1794.6120212630326,9.836698583651186,0.6452,0.2614,0.0934
11,ppo_llm,131.62444678002643,7.611381818181818,1671.9065227897343,11.204297011132397,0.6502,0.2551,0.0947
12,ppo_llm,138.3515943186031,7.925212121212121,1720.440721203517,10.563812565121424,0.6542,0.2501,0.0957
13,ppo_llm,139.43906409279023,7.713636363636364,1680.4226613947076,10.986054640401992,0.6534,0.2521,0.0945
14,ppo_llm,132.80705903542395,8.269418181818182,1786.1467969193684,9.971142321032312,0.6527,0.2517,0.0956
15,ppo_llm,139.96154446702633,7.517430303030304,1649.027025607201,11.461257389020643,0.6562,0.2514,0.0924
16,ppo_llm,135.52407655590937,8.032836363636363,1731.277363125389,10.521414604334343,0.655,0.2511,0.0939
17,ppo_llm,132.3721584638314,8.121042424242424,1738.3144562709072,10.428091187626087,0.662,0.2469,0.0911
18,ppo_llm,137.1320835290011,7.597527272727272,1663.8354637952084,11.14504912270294,0.6756,0.2415,0.0829
19,ppo_llm,127.42547429633792,7.641321212121213,1683.959022965781,10.925336321348599,0.6785,0.2412,0.0803
20,ppo_llm,147.5550695778892,7.914860606060607,1685.2264067937915,10.499287713602829,0.6808,0.241,0.0782
21,ppo_llm,142.9768261131329,8.764266666666666,1881.2418308682854,9.089246328865238,0.6826,0.2388,0.0786
22,ppo_llm,129.92721160950677,7.846266666666667,1703.7134404412077,10.705913689616247,0.6861,0.241,0.0729
23,ppo_llm,124.90618610465536,8.202072727272727,1769.990976662912,9.999841162243124,0.6889,0.2428,0.0683
24,ppo_llm,131.5958222715556,8.037551515151515,1732.0721669406425,10.500842268182312,0.6911,0.2442,0.0647
25,ppo_llm,140.27414162242204,7.780096969696969,1692.341495644022,10.681612482868985,0.6989,0.2374,0.0637
