episode,mode,mean_wait,mean_queue,total_co2,mean_speed,alpha,beta,gamma
1,ppo_rag,129.76376596871995,8.268812121212122,1763.5012137068952,10.302819749072507,0.6,0.3,0.1
2,ppo_rag,117.51648521705484,8.40910303030303,1798.9854554685526,10.078220285735275,0.61,0.29,0.1
3,ppo_rag,149.0240678643462,7.573018181818182,1658.7472084976077,11.057335429093651,0.618,0.282,0.1
4,ppo_rag,138.42834292844574,8.017139393939393,1744.9621139628462,10.564735294397629,0.6204,0.2796,0.1
5,ppo_rag,141.92181298106036,8.818339393939395,1872.4645003856804,9.134315162034623,0.6223,0.2777,0.1
6,ppo_rag,150.46279649295676,9.358024242424243,1955.5144994190514,8.551370723944768,0.6238,0.2742,0.102
7,ppo_rag,132.02745062149526,8.393539393939394,1775.9910326734396,9.946319631192415,0.629,0.2694,0.1016
8,ppo_rag,137.39735994756197,7.955333333333332,1713.295937209497,10.529943175954946,0.6292,0.2675,0.1033
9,ppo_rag,130.19032347195807,8.05261818181818,1741.2374031709878,10.31397079774241,0.6294,0.266,0.1046
10,ppo_rag,129.86215564499042,7.557103030303029,1642.6401039638322,11.245619959377574,0.6295,0.2668,0.1037
11,ppo_rag,132.39531289030262,7.864727272727274,1713.862320292081,10.73863574960501,0.6296,0.2654,0.105
12,ppo_rag,127.51493528568282,7.813490909090909,1691.7890638754225,11.009172689706894,0.6297,0.2643,0.106
13,ppo_rag,130.40024829621348,7.939951515151515,1711.504674335376,10.750980907910249,0.6298,0.2634,0.1068
14,ppo_rag,127.25532394500752,8.025175757575758,1727.5051519535787,10.734268876294815,0.6298,0.2627,0.1075
15,ppo_rag,125.24853798850201,7.858048484848484,1712.9249173281883,10.890993097315569,0.6308,0.2632,0.106
16,ppo_rag,127.08915079131515,7.767224242424243,1683.478935196053,11.143357636410503,0.631,0.263,0.106
17,ppo_rag,128.32690123773514,8.160666666666666,1755.1265209184508,10.35811101897968,0.6308,0.2624,0.1068
18,ppo_rag,142.8726255717682,7.65330909090909,1663.4086600626783,11.013514224749526,0.6316,0.2629,0.1055
19,ppo_rag,131.46729912425573,8.01050909090909,1727.796826884993,10.590677337269064,0.6323,0.2633,0.1044
20,ppo_rag,137.5858034399188,7.491806060606061,1633.4437058799,11.255811257412846,0.6325,0.2633,0.1042
21,ppo_rag,143.66593489015585,7.88770909090909,1699.2944836631768,10.746866196356995,0.633,0.2636,0.1034
22,ppo_rag,139.73700928508728,7.933915151515151,1724.7441496377894,10.369158309348965,0.6334,0.2639,0.1027
23,ppo_rag,129.37250286498232,7.620593939393939,1662.2204570852841,11.094998647201177,0.6347,0.2631,0.1022
24,ppo_rag,135.8486355065245,8.47430303030303,1812.9241773166839,9.606248174185426,0.6348,0.2635,0.1017
25,ppo_rag,131.04083943524137,8.236496969696969,1764.1966395154568,10.097025948564351,0.6336,0.2623,0.1041
